
2024/10/02 (19:52:52) | ===> btop++ v.1.4.0
2024/10/02 (19:52:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (19:52:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (20:29:17) | ===> btop++ v.1.4.0
2024/10/02 (20:29:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (20:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (20:30:28) | ===> btop++ v.1.4.0
2024/10/02 (20:30:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (20:30:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (20:30:43) | ===> btop++ v.1.4.0
2024/10/02 (20:30:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (20:30:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (19:18:24) | ===> btop++ v.1.4.0
2024/10/03 (19:18:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (19:18:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (16:46:55) | ===> btop++ v.1.4.0
2024/10/04 (16:46:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (16:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (16:52:06) | ===> btop++ v.1.4.0
2024/10/04 (16:52:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (16:52:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (17:30:19) | ===> btop++ v.1.4.0
2024/10/04 (17:30:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (17:30:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (19:38:14) | ===> btop++ v.1.4.0
2024/10/04 (19:38:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (19:38:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (21:35:31) | ===> btop++ v.1.4.0
2024/10/04 (21:35:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (21:35:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (11:03:30) | ===> btop++ v.1.4.0
2024/10/05 (11:03:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (11:03:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (12:05:08) | ===> btop++ v.1.4.0
2024/10/05 (12:05:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (12:05:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (22:47:23) | ===> btop++ v.1.4.0
2024/10/06 (22:47:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (22:47:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (22:52:25) | ===> btop++ v.1.4.0
2024/10/06 (22:52:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (22:52:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (22:57:20) | ===> btop++ v.1.4.0
2024/10/06 (22:57:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (22:57:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:05:15) | ===> btop++ v.1.4.0
2024/10/06 (23:05:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (23:05:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:09:50) | ===> btop++ v.1.4.0
2024/10/06 (23:09:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/06 (23:09:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (08:44:32) | ===> btop++ v.1.4.0
2024/10/07 (08:44:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (08:44:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (08:57:03) | ===> btop++ v.1.4.0
2024/10/07 (08:57:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (08:57:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (09:48:17) | ===> btop++ v.1.4.0
2024/10/07 (09:48:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (09:48:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (21:13:33) | ===> btop++ v.1.4.0
2024/10/08 (21:13:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/08 (21:13:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (21:33:31) | ===> btop++ v.1.4.0
